Model,Variant,Embedding,Vocab,K,Repeat,Experiment,Source_File,Timing_Run_Name,NPMI,Diversity,Valid_Topics,Dropped_Topics
BERTopic,NoiseParams fullK,Light,,60,Run2,BERTopic | NoiseParams fullK | Light | K60 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK60.json,LIGHT_EMBfinal2_noiseparams_K60,0.138048325522926,0.7879310344827586,58,1
BERTopic,NoiseParams fullK,Heavy,,60,Run2,BERTopic | NoiseParams fullK | Heavy | K60 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK60.json,HEAVY_EMBfinal2_noiseparams_K60,0.10272355514412536,0.8553571428571428,56,2
BERTopic,NoiseParams fullK,Light,,10,Run3,BERTopic | NoiseParams fullK | Light | K10 | Run3,bertopic_topics_LIGHT_EMBfinal3_noiseparams_fullK10.json,LIGHT_EMBfinal3_noiseparams_K10,0.152327991848077,0.9555555555555556,9,1
BERTopic,NoiseParams fullK,Heavy,,10,Run3,BERTopic | NoiseParams fullK | Heavy | K10 | Run3,bertopic_topics_HEAVY_EMBfinal3_noiseparams_fullK10.json,HEAVY_EMBfinal3_noiseparams_K10,0.1682286877424679,0.9333333333333333,9,0
BERTopic,NoiseParams fullK,Light,,20,Run3,BERTopic | NoiseParams fullK | Light | K20 | Run3,bertopic_topics_LIGHT_EMBfinal3_noiseparams_fullK20.json,LIGHT_EMBfinal3_noiseparams_K20,0.09863782162504046,0.885,20,0
BERTopic,NoiseParams fullK,Heavy,,20,Run3,BERTopic | NoiseParams fullK | Heavy | K20 | Run3,bertopic_topics_HEAVY_EMBfinal3_noiseparams_fullK20.json,HEAVY_EMBfinal3_noiseparams_K20,0.11514097233574949,0.8888888888888888,18,0
BERTopic,NoiseParams fullK,Light,,30,Run3,BERTopic | NoiseParams fullK | Light | K30 | Run3,bertopic_topics_LIGHT_EMBfinal3_noiseparams_fullK30.json,LIGHT_EMBfinal3_noiseparams_K30,0.1115033530117515,0.8555555555555555,27,0
BERTopic,NoiseParams fullK,Heavy,,30,Run3,BERTopic | NoiseParams fullK | Heavy | K30 | Run3,bertopic_topics_HEAVY_EMBfinal3_noiseparams_fullK30.json,HEAVY_EMBfinal3_noiseparams_K30,0.12368411620042619,0.85,28,0
BERTopic,NoiseParams fullK,Light,,40,Run3,BERTopic | NoiseParams fullK | Light | K40 | Run3,bertopic_topics_LIGHT_EMBfinal3_noiseparams_fullK40.json,LIGHT_EMBfinal3_noiseparams_K40,0.10676579529235979,0.8552631578947368,38,1
BERTopic,NoiseParams fullK,Heavy,,40,Run3,BERTopic | NoiseParams fullK | Heavy | K40 | Run3,bertopic_topics_HEAVY_EMBfinal3_noiseparams_fullK40.json,HEAVY_EMBfinal3_noiseparams_K40,0.11534027743528381,0.8837837837837837,37,1
