Model,Variant,Embedding,Vocab,K,Repeat,Experiment,Source_File,Timing_Run_Name,NPMI,Diversity,Valid_Topics,Dropped_Topics,Runtime_Seconds,Runtime_Minutes,Runtime_Log_Entries,Timing_Run_Names
BERTopic,NoiseParams fullK,Light,,50,Run3,BERTopic | NoiseParams fullK | Light | K50 | Run3,bertopic_topics_LIGHT_EMBfinal3_noiseparams_fullK50.json,LIGHT_EMBfinal3_noiseparams_K50,0.1365821042314404,0.8347826086956521,46,0,190.5,3.17,1,LIGHT_EMBfinal3_noiseparams_fullK50
BERTopic,NoiseParams fullK,Heavy,,50,Run3,BERTopic | NoiseParams fullK | Heavy | K50 | Run3,bertopic_topics_HEAVY_EMBfinal3_noiseparams_fullK50.json,HEAVY_EMBfinal3_noiseparams_K50,0.1098558745853657,0.8787234042553191,47,0,156.16,2.6,1,HEAVY_EMBfinal3_noiseparams_fullK50
BERTopic,NoiseParams fullK,Light,,60,Run3,BERTopic | NoiseParams fullK | Light | K60 | Run3,bertopic_topics_LIGHT_EMBfinal3_noiseparams_fullK60.json,LIGHT_EMBfinal3_noiseparams_K60,0.1289970261068071,0.7789473684210526,57,2,204.03,3.4,1,LIGHT_EMBfinal3_noiseparams_fullK60
BERTopic,NoiseParams fullK,Heavy,,60,Run3,BERTopic | NoiseParams fullK | Heavy | K60 | Run3,bertopic_topics_HEAVY_EMBfinal3_noiseparams_fullK60.json,HEAVY_EMBfinal3_noiseparams_K60,0.0967425040258666,0.8491228070175438,57,1,157.98,2.63,1,HEAVY_EMBfinal3_noiseparams_fullK60
BERTopic,Reassignment fullK,Light,,10,Run1,BERTopic | Reassignment fullK | Light | K10 | Run1,bertopic_topics_LIGHT_EMBfinal_reassignment_fullK10.json,LIGHT_EMBfinal_reassignment_K10,0.1230671233989296,0.95,10,0,214.17,3.57,1,LIGHT_EMBfinal_reassignment_fullK10
BERTopic,Reassignment fullK,Heavy,,10,Run1,BERTopic | Reassignment fullK | Heavy | K10 | Run1,bertopic_topics_HEAVY_EMBfinal_reassignment_fullK10.json,HEAVY_EMBfinal_reassignment_K10,0.1596932603945224,0.9666666666666668,9,1,153.89,2.56,1,HEAVY_EMBfinal_reassignment_fullK10
BERTopic,Reassignment fullK,Light,,20,Run1,BERTopic | Reassignment fullK | Light | K20 | Run1,bertopic_topics_LIGHT_EMBfinal_reassignment_fullK20.json,LIGHT_EMBfinal_reassignment_K20,0.1522066703291378,0.8789473684210526,19,0,207.61,3.46,1,LIGHT_EMBfinal_reassignment_fullK20
BERTopic,Reassignment fullK,Heavy,,20,Run1,BERTopic | Reassignment fullK | Heavy | K20 | Run1,bertopic_topics_HEAVY_EMBfinal_reassignment_fullK20.json,HEAVY_EMBfinal_reassignment_K20,0.1890274688857668,0.9157894736842104,19,1,157.5,2.62,1,HEAVY_EMBfinal_reassignment_fullK20
BERTopic,Reassignment fullK,Light,,30,Run1,BERTopic | Reassignment fullK | Light | K30 | Run1,bertopic_topics_LIGHT_EMBfinal_reassignment_fullK30.json,LIGHT_EMBfinal_reassignment_K30,0.1531545298438687,0.8310344827586207,29,0,210.19,3.5,1,LIGHT_EMBfinal_reassignment_fullK30
BERTopic,Reassignment fullK,Heavy,,30,Run1,BERTopic | Reassignment fullK | Heavy | K30 | Run1,bertopic_topics_HEAVY_EMBfinal_reassignment_fullK30.json,HEAVY_EMBfinal_reassignment_K30,0.1589748526315629,0.8655172413793103,29,1,157.98,2.63,1,HEAVY_EMBfinal_reassignment_fullK30
BERTopic,Reassignment fullK,Light,,40,Run1,BERTopic | Reassignment fullK | Light | K40 | Run1,bertopic_topics_LIGHT_EMBfinal_reassignment_fullK40.json,LIGHT_EMBfinal_reassignment_K40,0.1435738689171234,0.8025641025641026,39,0,207.03,3.45,1,LIGHT_EMBfinal_reassignment_fullK40
